text_to_analyse,label
"SE SUMINISTRARON TERMOSTATOS QUE AHORA SOLICITAMOS CAMBIAR EN GARANTÍA, DADO QUE NO FUNCIONAN TRAS REALIZAR LA CONSULTA CON EL DPTO TÉCNICO DE AIRZONE MANDO MANDO QUE NO FUNCIONA",0
"SE SUMINISTRARON TERMOSTATOS QUE AHORA SOLICITAMOS CAMBIAR EN GARANTÍA, DADO QUE NO FUNCIONAN TRAS REALIZAR LA CONSULTA CON EL DPTO TÉCNICO DE AIRZONE MANDO MANDO QUE NO FUNCIONA",0
"SE SUMINISTRARON TERMOSTATOS QUE AHORA SOLICITAMOS CAMBIAR EN GARANTÍA, DADO QUE NO FUNCIONAN TRAS REALIZAR LA CONSULTA CON EL DPTO TÉCNICO DE AIRZONE MANDO MANDO QUE NO FUNCIONA",0
"SE SUMINISTRARON TERMOSTATOS QUE AHORA SOLICITAMOS CAMBIAR EN GARANTÍA, DADO QUE NO FUNCIONAN TRAS REALIZAR LA CONSULTA CON EL DPTO TÉCNICO DE AIRZONE MANDO MANDO QUE NO FUNCIONA",0
Blueface No funcional visto con Sylvain Giraud por teléfono Blueface PRO 6 Blanc BlueFace no funciona después del cambio por una nueva instalación.,0
EL TERMOSTATO BLUEFACE EN REALIDAD NO FUNCIONA TERMOSTATO AZUL EL TERMOSTATO BLUEFACE EN REALIDAD NO FUNCIONA,0
"TERMOSTATO EN GARANTIA NO FUNCIONA -- TERMOSTATO BLUEFACE 8Z AZCE6BLUEFACE BL TERMOSTATO NO FUNCIONA, MATERIAL EN GARANTIA --",0
"TERMOSTATO NO FUNCIONA, MATERIAL EN GARANTIA -- TERMOSTATO AZUL TERMOSTATO NO FUNCIONA, CLIENTE REALIZÓ AMPLIACION GARANTIA --",0
"TERMOSTATO THINK RADIO NO FUNCIONA, MARCA MAL LA HUMEDAD, SE ENCIENDE Y SE APAGA LA PANTALLA *CE6 - RADIO TERMOSTATO MONOCROMO AIRZONE PENSAR BL ENVIAR UN TERMOSTATO NUEVO",1
CUANDO VINO EL TÉCNICO DE AIRZONE A PROBAR LA FINCA NOS DIMOS CUENTA QUE ESTE TERMOSTATO NO FUNCIONA TERMOSTATO DE ZONA DE AIRE NO FUNCIONA,0
NO ENCIENDE AZCE6BLUEFACECB NO ENCIENDE,0
3 TERMOSTATOS LITE NO FUNCIONAN LITE NO FUNCIONAN CORRECTAMENTE.,0
"El termostato ya no funciona Termostato blueface blc Lo siento, llegué tarde a este consejo...",0
NO FUNCIONA TTO. CENT. INTELIGENTE COLOR BLUEFACE 8Z BLANCO NO FUNCIONA,0
